CPU no USED,Agents,vCPU,CPU USED,Time
18,57,6,81.9902912621,102.568
7.5094339623,100,4,92.5911949686,158.462
33.8630136986,30,6,66.1780821918,72.291
10.7023809524,27,2,89.619047619,83.641
44.0172413793,49,16,55.9137931034,57.431
8.3525641026,97,4,91.7884615385,155.61
33.1282051282,47,10,66.8333333333,77.224
15.8086956522,67,6,84.0695652174,114.466
16.5044247788,65,6,83.3982300885,112.209
46.2372881356,56,18,53.7118644068,58.46
2.0481927711,23,1,97.9277108434,83.33
35.2837837838,43,10,64.6351351351,73.118
3.0588235294,24,1,96.9294117647,84.52
46.0862068966,55,18,53.7931034483,57.509
8.3846153846,96,4,91.6923076923,155.076
61.3255813953,61,24,38.6279069767,42.85
8.5496688742,92,4,91.4701986755,151.048
51.3777777778,62,24,48.5555555556,44.345
54.9302325581,60,24,44.8837209302,42.193
60.7179487179,70,28,39.2564102564,38.904
52.1219512195,71,28,47.6829268293,40.094
17.4727272727,61,6,82.5727272727,109.339
8.8413793103,86,4,91.2275862069,144.893
50.2407407407,44,16,49.8518518519,53.656
16.5,59,6,83.3518518519,107.108
34.2051282051,46,10,65.7564102564,77.907
26.025,28,4,74,79.567
7.7586206897,28,2,92.5747126437,86.876
54.8717948718,82,32,45.1025641026,38.485
17.2432432432,62,6,82.7477477477,110.796
8.5584415584,93,4,91.5519480519,153.333
22.775,28,4,77.325,80.027
54.1944444444,79,32,45.6944444444,35.517
44.2881355932,48,16,55.7457627119,58.908
23.3797468354,27,4,76.6962025316,79.02
88.8888888889,3,16,11.2222222222,8.369
7.9210526316,91,4,92.1447368421,151.753
51.7777777778,31,10,48.2222222222,62.073
8.4038461538,94,4,91.6730769231,155.204
88.8,4,16,11.5,9.77
89.75,2,16,10,7.636
31.9090909091,31,6,68.1038961039,76.911
86.2631578947,12,16,14,18.963
47.9833333333,54,18,51.9166666667,59.148
85.7826086957,15,16,14.3043478261,22.419
45.0517241379,46,16,54.775862069,57.485
86.1363636364,14,16,13.9545454545,21.329
49.6440677966,53,18,50.3728813559,58.125
54.2894736842,80,32,45.6315789474,37.565
35.2025316456,45,10,64.7594936709,78.337
48.3571428571,51,18,51.5892857143,55.948
49.4655172414,52,18,50.5,57.137
87.3684210526,11,16,12.5789473684,18.114
18.5533980583,53,6,81.4466019417,102.17
84.75,16,16,15.375,23.887
35.6973684211,42,10,64.3421052632,75.174
46.3333333333,45,16,53.6842105263,56.675
88.75,5,16,11.25,11.564
55.9268292683,69,28,43.9756097561,40.129
36.3513513514,40,10,63.6486486486,73.067
17.6886792453,56,6,82.2547169811,105.792
51.6226415094,48,18,48.2830188679,53.004
87.2142857143,7,16,12.8571428571,14.018
84.5769230769,17,16,15.4615384615,25.35
89.1428571429,6,16,10.9285714286,13.044
87,10,16,12.9444444444,17.574
17.1926605505,58,6,82.6513761468,108.334
7.506097561,100,4,92.5670731707,163.163
1.9347826087,27,1,98.0760869565,91.646
90.75,1,16,9.375,7.542
88,8,16,12.25,15.774
17.7053571429,60,6,82.3125,111.088
51.5681818182,58,24,48.3181818182,43.15
8.6629213483,27,2,91.606741573,88.438
36.9473684211,41,10,62.9342105263,75.117
81.0714285714,18,16,18.9285714286,27.237
40.0704225352,37,10,59.7746478873,70.607
88.2222222222,9,16,11.8333333333,17.096
86.0454545455,13,16,14.0454545455,21.641
54.2619047619,56,24,45.5952380952,41.317
75.2058823529,23,16,24.9117647059,33.294
7.7840909091,26,2,92.4204545455,87.871
52.1860465116,57,24,47.7209302326,42.866
48.5964912281,50,18,51.298245614,56.962
54.4864864865,77,32,45.4054054054,36.375
58.6578947368,78,32,41.1315789474,37.575
7.320754717,94,4,92.679245283,158.191
55.7317073171,54,24,44.1463414634,40.07
7.3251533742,98,4,92.6564417178,162.803
56.9756097561,67,28,42.9024390244,40.249
8.6666666667,89,4,91.3660130719,152.834
34.3086419753,44,10,65.6790123457,80.124
1.7849462366,26,1,98.2150537634,92.737
7.762195122,98,4,92.3170731707,163.247
73.65625,20,16,26.53125,31.487
22.9069767442,29,4,77.2906976744,85.548
45.2413793103,43,16,54.775862069,57.716
52.4137931034,49,18,47.5,57.274
47.1754385965,42,16,52.8070175439,56.81
56.512195122,66,28,43.3902439024,40.282
75,19,16,25.125,31.114
74.5714285714,22,16,25.4285714286,34.666
56.8139534884,68,28,43.2093023256,42.889
18.0458715596,55,6,81.9541284404,108.507
68.7954545455,30,16,31.2045454545,43.809
72.0243902439,27,16,28.1951219512,40.551
72.8157894737,24,16,27.1052631579,37.211
58.6578947368,76,32,41.0789473684,37.574
57.1282051282,64,28,42.8717948718,38.805
74.4571428571,21,16,25.6,34.088
1.2631578947,26,1,98.7157894737,94.614
23.9886363636,29,4,76.1022727273,87.161
72.5365853659,26,16,27.5365853659,40.205
8.7405063291,91,4,91.3164556962,157.492
70.4418604651,28,16,29.5581395349,42.531
17.504587156,54,6,82.4587155963,108.521
73.525,25,16,26.525,39.479
49.3793103448,41,16,50.5862068966,57.731
1.3894736842,25,1,98.6105263158,94.666
37.0779220779,38,10,62.8831168831,76.536
53.3275862069,47,18,46.5517241379,57.61
56.7142857143,65,28,43.1666666667,41.765
47.6034482759,40,16,52.224137931,57.628
86.2,17,18,14,24.381
66.75,31,16,33.2083333333,47.541
55.5869565217,55,24,44.3695652174,45.551
56.1538461538,62,28,43.7948717949,38.991
57.2820512821,74,32,42.7179487179,38.176
34.9375,39,10,64.925,79.078
6.5567010309,29,2,93.7731958763,97.103
59.3170731707,63,28,40.5853658537,40.666
70.4255319149,29,16,29.5531914894,46.273
90.0909090909,4,18,10,10.785
54.9189189189,72,32,44.9459459459,36.543
37.4285714286,36,10,62.4415584416,76.314
8.1237113402,28,2,92.1649484536,96.516
21.2826086957,30,4,78.8804347826,91.483
57.7435897436,61,28,42.2564102564,38.927
90,5,18,10.0769230769,12.216
8.096969697,95,4,91.9818181818,165.03
90.6666666667,2,18,9.5555555556,8.892
57.5384615385,73,32,42.358974359,38.059
61.3428571429,70,32,38.5142857143,34.673
8.3987341772,88,4,91.6772151899,157.31
50.8813559322,46,18,49.1016949153,59.031
53.3414634146,75,32,46.487804878,40.732
1.9504950495,28,1,98.0396039604,100.789
18.8818181818,52,6,81.1090909091,109.661
91.1818181818,3,18,8.9090909091,10.505
58.152173913,53,24,41.8043478261,45.123
