CPUnoUSED,Agents,vCPU,CPU Used,Time
60.39130435,1,1,38.82608696,12.587
58.44285714,2,1,41.25714286,13.232
56.26530612,3,1,43.59183673,15.196
53.69444444,4,1,46.20634921,16.289
52.75647668,5,1,47.18134715,16.474
51.6043956,6,1,48.32967033,16.891
50.34979973,7,1,49.57543391,18.667
49.37487232,8,1,50.56894791,18.628
48.23618895,9,1,51.71257006,20.065
47.46889031,10,1,52.49005773,20.688
46.72727273,11,1,53.23909616,21.236
45.77559913,12,1,54.18082789,22.565
44.77989031,13,1,55.17440585,23.692
43.76915917,14,1,56.18771331,24.901
42.78937681,15,1,57.1740731,28.504
41.81399046,16,1,58.15080627,27.407
40.93531157,17,1,59.03066271,28.254
39.93915298,18,1,60.03111495,30.522
39.05721242,19,1,60.91357273,31.251
38.37178446,20,1,61.59924181,30.698
37.64293459,21,1,62.33092399,33.447
36.85965291,22,1,63.11199741,34.364
36.15757341,23,1,63.81238492,35.137
35.49005694,24,1,64.4805081,35.637
34.83443183,25,1,65.13285158,37.104
34.05955549,26,1,65.90886859,40.133
33.53945471,27,1,66.43006947,40.155
32.84916701,28,1,67.12133516,43.194
32.29612769,29,1,67.67524133,41.069
31.72439554,30,1,68.24461158,42.606
31.35602435,31,1,68.61502718,45.103
30.82616164,32,1,69.1469982,45.065
30.38502674,33,1,69.5871977,43.666
29.84425957,34,1,70.12749122,48.389
29.20952674,35,1,70.76186565,52.168
28.81294114,36,1,71.16026317,47.937
28.22331452,37,1,71.74959905,53.64
27.74105806,38,1,72.23260134,53.024
27.20691349,39,1,72.76746471,56.877
26.79207083,40,1,73.18286931,56.44
26.32360246,41,1,73.65196875,61.918
25.63764405,42,1,74.33786025,69.744
24.92075619,43,1,75.05480413,75.207
24.28384613,44,1,75.68936394,75.107
23.66164407,45,1,76.31030508,77.534
23.03883034,46,1,76.93351055,81.186
22.55009502,47,1,77.42294215,78.315
21.97467669,48,1,77.9993749,86.541
21.53909551,49,1,78.43646734,80.78
21.1002723,50,1,78.87545436,84.249
20.70081222,51,1,79.27519205,90.89
20.27504892,52,1,79.70112932,89.174
19.86184611,53,1,80.1145329,91.682
19.46332419,54,1,80.51327589,93.944
19.0649982,55,1,80.91236405,97.651
18.75206532,56,1,81.22581125,94.651
18.40372805,57,1,81.57482654,99.137
18.07521576,58,1,81.90331429,99.99
17.75497914,59,1,82.22320178,102.329
17.4482884,60,1,82.53002345,103.264
17.13794504,61,1,82.83977257,111.733
16.81012007,62,1,83.16789654,116.291
16.50074928,63,1,83.47712718,115.605
16.18643457,64,1,83.79213898,121.898
15.87825553,65,1,84.09985826,123.46
15.58765655,66,1,84.39146857,125.415
15.28785998,67,1,84.69112835,129.904
14.97857526,68,1,84.9994066,137.399
14.64433273,69,1,85.33216114,147.167
14.31468296,70,1,85.66049938,152.07
13.91667792,71,1,86.04955857,175.133
13.45172987,72,1,86.50922122,197.092
13.01080455,73,1,86.94829978,201.772
12.60030485,74,1,87.35097836,205.275
12.22291716,75,1,87.71744456,207.85
11.89035659,76,1,88.04146855,204.055
11.33104754,77,1,88.57245741,292.126
11.32713454,78,1,88.57627902,206.975
