

"Host:","aldo-pc",,,,"User:","aldo"
"Cmdline:","dstat --integer -cmnd --noheaders --output stats.csv",,,,"Date:","13 Aug 2016 16:36:59 BRT"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ"
21.725,4.347,71.907,1.904,0.000,0.117,4735766528.0,92180480.0,1157554176.0,153899008.0,0.0,0.0,55122.854,91143.931
28.070,5.263,28.070,38.346,0.0,0.251,4753219584.0,87642112.0,1141477376.0,157061120.0,73697.0,25051.0,1470464.0,6426624.0
13.590,2.308,39.487,44.615,0.0,0.0,4755152896.0,87953408.0,1142652928.0,153640960.0,73154.0,28484.0,995328.0,90112.0
23.308,2.256,34.586,39.599,0.0,0.251,4757921792.0,88408064.0,1144360960.0,148709376.0,71742.0,38964.0,2412544.0,73728.0
17.136,3.069,56.266,23.529,0.0,0.0,4763131904.0,78065664.0,1144717312.0,153485312.0,29457.0,41342.0,3166208.0,1843200.0
14.177,1.772,51.646,32.152,0.0,0.253,4763303936.0,78065664.0,1152188416.0,145842176.0,64284.0,20935.0,7032832.0,0.0
10.283,1.799,64.010,23.907,0.0,0.0,4764696576.0,78065664.0,1154387968.0,142249984.0,73799.0,24522.0,2129920.0,0.0
10.406,2.792,55.838,30.457,0.0,0.508,4763893760.0,78073856.0,1159569408.0,137863168.0,73255.0,20011.0,5173248.0,163840.0
12.183,2.792,62.183,22.589,0.0,0.254,4765093888.0,74006528.0,1164869632.0,135430144.0,73590.0,20742.0,4612096.0,978944.0
15.288,1.754,54.637,28.070,0.0,0.251,4769382400.0,74014720.0,1170173952.0,125829120.0,48594.0,46275.0,5312512.0,28672.0
22.589,2.792,50.0,24.365,0.0,0.254,4771704832.0,74231808.0,1175597056.0,117866496.0,75747.0,16184.0,5623808.0,0.0
66.416,6.015,11.529,15.789,0.0,0.251,4771471360.0,46333952.0,1132060672.0,189534208.0,74452.0,12542.0,2846720.0,27140096.0
